year,quarter,month,total_quantity,total_sales
2013,3,7,1462,1127510.70
2013,3,8,1322,751215.40
2013,3,9,1124,843997.20
2013,4,10,1738,1535614.60
2013,4,11,1735,2036349.00
2013,4,12,2200,2021046.80
2014,1,1,2401,2869189.20
2014,1,2,2132,1763180.00
2014,1,3,1770,1287397.70
2014,2,4,1912,2449367.79
2014,2,5,2164,1860344.10
2014,2,6,1635,1148608.50
2014,3,7,2054,2622885.13
2014,3,8,1861,1755879.19
2014,3,9,2343,2290232.40
2014,4,10,2679,2860419.02
2014,4,11,1856,1284956.62
2014,4,12,2682,3099818.58
2015,1,1,3466,3397862.30
2015,1,2,3115,4923633.93
2015,1,3,4065,3959354.43
2015,2,4,4680,6006541.18
2015,2,5,921,1112943.34
